name,n,m,converged,iters,relres,wpe,setup_s,solve_s,status
Andrianov__lpl1.mtx,32279,147260,1,14,2.9067341624320296e-9,205.93547467065056,0.018537541,0.016766834,ok
Andrianov__mip1.mtx,66463,5143178,0,0,0,0,0,0,skip(size)
Andrianov__net100.mtx,28084,966960,1,6,3.5690603174759777e-9,67.14713328369322,0.145331583,0.026268875,ok
Andrianov__net125.mtx,34884,1235560,1,6,3.561621095205012e-9,66.46702062222798,0.157815417,0.032169667,ok
Andrianov__net150.mtx,41684,1504160,1,6,3.827842661683107e-9,66.02980533985746,0.190280334,0.03918925,ok
Andrianov__net25.mtx,7684,161160,1,9,2.5587813915421868e-9,98.10580789277736,0.013660625,0.006020792,ok
Andrianov__net4-1.mtx,74026,1038021,1,17,9.594611238701479e-9,187.5792166054444,0.262364084,0.085295833,ok
Andrianov__net50.mtx,14484,429760,1,9,1.1915658163887847e-9,114.8096425912137,0.044030792,0.017700416,ok
Andrianov__net75.mtx,21284,698360,1,6,6.115343913692561e-9,68.35040953090096,0.107781708,0.019424333,ok
Andrianov__pattern1.mtx,19242,4652095,1,6,3.4715688385121312e-9,60.17620964318227,0.788839,0.090468084,ok
Andrianov__pf2177.mtx,9728,357708,1,8,3.67047945712482e-9,87.46168383150503,0.386325875,0.011436084,ok
Arenas__PGPgiantcompo.mtx,10680,24316,1,62,9.928190118978404e-9,1626.7376213192958,0.007109917,0.03315125,ok
Arenas__celegans_metabolic.mtx,453,2025,1,10,1.6306139313139838e-9,130.77037037037036,0.00155475,0.000166958,ok
Arenas__email.mtx,1133,5451,1,9,6.223790562095696e-9,183.52504127682994,0.001311625,0.000623625,ok
Arenas__jazz.mtx,198,2742,1,8,8.980010881744578e-10,86.99051787016776,0.000266833,0.00010975,ok
Averous__epb0.mtx,1794,2985,1,14,2.6609106343164387e-9,249.08274706867672,0.000628292,0.000574375,ok
Averous__epb1.mtx,14734,41262,1,13,7.640651964542126e-9,244.66981726528041,0.005874916,0.007254542,ok
Averous__epb2.mtx,25228,83877,1,13,9.569783488434613e-9,250.65293226987137,0.015512875,0.014721417,ok
Averous__epb3.mtx,84617,198891,1,16,3.853253433026202e-9,348.7626086650477,0.091696416,0.052946167,ok
Bai__af23560.mtx,23560,218519,1,16,5.599804078242139e-9,212.27496007212187,0.057815375,0.02102275,ok
Bai__bfwa398.mtx,398,1646,1,11,3.955229535236773e-9,165.5078979343864,0.000752833,0.000146416,ok
Bai__bfwa62.mtx,62,197,0,0,0,0,0,0,skip(size)
Bai__bfwa782.mtx,782,3376,1,12,2.2030131456344753e-9,194.38151658767774,0.000580625,0.000389375,ok
Bai__bfwb398.mtx,209,673,0,0,0,0,0,0,skip(size)
Bai__bfwb62.mtx,35,88,0,0,0,0,0,0,skip(size)
Bai__bfwb782.mtx,405,1363,1,12,6.549838456689828e-9,198.22450476889216,0.000773542,0.000154708,ok
Bai__bwm200.mtx,200,298,0,0,0,0,0,0,skip(size)
Bai__bwm2000.mtx,2000,2998,1,12,5.307170521752173e-9,315.1220813875917,0.000857083,0.001030667,ok
Bai__cdde1.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000529709,0.000345375,ok
Bai__cdde2.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000538292,0.000354083,ok
Bai__cdde3.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000531958,0.000335625,ok
Bai__cdde4.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000502541,0.000342458,ok
Bai__cdde5.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000497708,0.000336875,ok
Bai__cdde6.mtx,961,1860,1,11,2.476173289564148e-9,243.75645161290322,0.000500792,0.000343833,ok
Bai__ck104.mtx,52,222,0,0,0,0,0,0,skip(size)
Bai__ck400.mtx,200,622,0,0,0,0,0,0,skip(size)
Bai__ck656.mtx,328,814,0,0,0,0,0,0,skip(size)
Bai__cryg10000.mtx,10000,19799,1,11,3.5551680493243006e-9,283.20208091317744,0.003797333,0.004775375,ok
Bai__cryg2500.mtx,2500,4899,1,11,3.943500687824525e-9,269.86487038171055,0.001063625,0.001066708,ok
Bai__dw1024.mtx,2048,4012,1,12,8.779228845993397e-9,301.52542372881356,0.000885541,0.000990917,ok
Bai__dw2048.mtx,2048,4012,1,12,8.779228845993397e-9,301.52542372881356,0.000860833,0.000994,ok
Bai__dw256A.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dw256B.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dw4096.mtx,8192,16378,1,13,7.484508956886734e-9,330.99914519477346,0.00392525,0.004361458,ok
Bai__dw8192.mtx,8192,16378,1,13,7.484508956886734e-9,330.99914519477346,0.003840625,0.004364791,ok
Bai__dwa512.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dwb512.mtx,512,984,0,0,0,0,0,0,skip(size)
Bai__dwg961a.mtx,705,1350,1,14,8.43937338263835e-9,320.18518518518516,0.000325292,0.000361958,ok
Bai__dwg961b.mtx,961,4815,1,13,4.256769625321809e-9,201.98733125649014,0.000549875,0.000567416,ok
Bai__lop163.mtx,163,178,0,0,0,0,0,0,skip(size)
Bai__mhd1280a.mtx,1266,22945,1,9,7.518467751578915e-9,100.90433645674439,0.001883208,0.000961375,ok
Bai__mhd1280b.mtx,474,4753,1,11,3.5869227110322334e-9,122.83989059541342,0.000457417,0.000261958,ok
Bai__mhd3200a.mtx,3193,35605,1,11,5.092846826378501e-9,127.21227355708469,0.003342333,0.002142334,ok
Bai__mhd3200b.mtx,798,2787,1,12,4.914446653631604e-9,156.8826695371367,0.000960417,0.000310333,ok
Bai__mhd4800a.mtx,4793,53520,1,11,6.4738457267376515e-9,128.04908445440955,0.003955375,0.003444,ok
Bai__mhd4800b.mtx,1198,4187,1,13,6.4920486706610734e-9,181.0002388344877,0.000561166,0.000561,ok
Bai__mhda416.mtx,409,4483,1,10,6.984009894545039e-9,113.12290876645103,0.000549875,0.00021925,ok
Bai__mhdb416.mtx,102,351,0,0,0,0,0,0,skip(size)
Bai__odepa400.mtx,400,399,0,0,0,0,0,0,skip(size)
Bai__odepb400.mtx,1,0,0,0,0,0,0,0,skip(size)
Bai__olm100.mtx,100,148,0,0,0,0,0,0,skip(size)
Bai__olm1000.mtx,1000,1498,1,18,3.4324941964416296e-9,371.2710280373832,0.000507416,0.000513958,ok
Bai__olm2000.mtx,2000,2998,1,18,6.165615847852964e-9,403.1687791861241,0.000646417,0.001237458,ok
Bai__olm500.mtx,500,748,0,0,0,0,0,0,skip(size)
Bai__olm5000.mtx,5000,7498,1,18,6.071861814913354e-9,403.39877300613495,0.003060916,0.003031375,ok
Bai__pde225.mtx,225,420,0,0,0,0,0,0,skip(size)
Bai__pde2961.mtx,2961,5812,1,11,2.15022571857367e-9,263.2448382656573,0.001159667,0.001169125,ok
Bai__pde900.mtx,900,1740,1,11,8.663334772455548e-9,248.76436781609195,0.000477458,0.000351417,ok
Bai__qc2534.mtx,2534,230413,1,4,1.091461443309668e-9,40.31487806677575,0.010277583,0.003250209,ok
Bai__qc324.mtx,324,13203,1,4,1.9060065392994024e-9,40.702264636824964,0.000451583,0.000192584,ok
Bai__qh1484.mtx,1470,2475,1,16,7.930580766976335e-9,353.25414141414143,0.000904,0.000651875,ok
Bai__qh768.mtx,672,1112,1,15,3.6865122768716506e-9,313.8129496402878,0.000339458,0.000271417,ok
Bai__qh882.mtx,774,1269,1,14,9.403996714262776e-9,293.68006304176515,0.000359958,0.000285792,ok
Bai__rbsa480.mtx,480,6256,1,9,1.4123945515501796e-9,109.36381074168798,0.000952833,0.000283584,ok
Bai__rbsb480.mtx,480,6249,1,9,1.2797657952155265e-9,109.34229476716274,0.00096125,0.000285583,ok
Bai__rdb1250.mtx,1250,3025,1,12,3.5329018573159438e-9,277.5907438016529,0.000840375,0.00058575,ok
Bai__rdb1250l.mtx,1250,3025,1,12,3.5329018573159438e-9,277.5907438016529,0.000912375,0.000588042,ok
Bai__rdb200.mtx,200,460,0,0,0,0,0,0,skip(size)
Bai__rdb200l.mtx,200,460,0,0,0,0,0,0,skip(size)
Bai__rdb2048.mtx,2048,4992,1,12,3.952387773269734e-9,290.66346153846155,0.000952416,0.001118292,ok
Bai__rdb2048_noL.mtx,2048,4992,1,12,3.952387773269734e-9,290.66346153846155,0.000898334,0.001105916,ok
Bai__rdb3200l.mtx,3200,7840,1,12,4.14784671521966e-9,283.21836734693875,0.001466041,0.001613833,ok
Bai__rdb450.mtx,450,1065,1,12,3.831050228232239e-9,282.8394366197183,0.000282792,0.000205958,ok
Bai__rdb450l.mtx,450,1065,1,12,3.831050228232239e-9,282.8394366197183,0.000271833,0.000207875,ok
Bai__rdb5000.mtx,5000,12300,1,12,4.252283326426445e-9,288.7551219512195,0.002392583,0.002599042,ok
Bai__rdb800l.mtx,800,1920,1,12,2.6902660414427248e-9,281.675,0.000517792,0.000371667,ok
Bai__rdb968.mtx,968,2332,1,12,3.700083972880571e-9,276.4631217838765,0.000591,0.0004425,ok
Bai__rw136.mtx,135,239,0,0,0,0,0,0,skip(size)
Bai__rw496.mtx,495,929,0,0,0,0,0,0,skip(size)
Bai__rw5151.mtx,5150,10099,1,11,2.1948051891671475e-9,280.42974551935833,0.037788208,0.002423416,ok
Bai__tols1090.mtx,90,1143,1,1,3.4293466706365447e-15,10.393700787401574,0.00038525,4.417e-6,ok
Bai__tols2000.mtx,90,1143,1,1,3.4293466706365447e-15,10.393700787401574,0.00038025,4.083e-6,ok
Bai__tols340.mtx,90,1143,1,1,3.4293466706365447e-15,10.393700787401574,0.000376917,4.208e-6,ok
Bai__tols4000.mtx,90,1143,1,1,3.4293466706365447e-15,10.393700787401574,0.000359458,3.834e-6,ok
Bai__tols90.mtx,90,1143,1,1,3.4293466706365447e-15,10.393700787401574,0.000380125,4.0e-6,ok
Bai__tub100.mtx,100,148,0,0,0,0,0,0,skip(size)
Bai__tub1000.mtx,1000,1498,1,12,3.5964807142176443e-9,283.5781041388518,0.000751833,0.000412625,ok
Barabasi__NotreDame_www.mtx,185085,276110,1,20,8.581578527515243e-9,515.2923834703561,0.171286042,0.167675208,ok
Barabasi__NotreDame_yeast.mtx,1458,1948,1,15,7.754214325562362e-9,461.22689938398355,0.001037208,0.000636667,ok
Bates__Chem97ZtZ.mtx,101,100,0,0,0,0,0,0,skip(size)
BenElechi__BenElechi1.mtx,245868,6452311,0,0,0,0,0,0,skip(size)
Bindel__ted_A.mtx,10605,119972,1,13,6.848352657775623e-9,223.61090087687128,0.011084792,0.01822825,ok
Bindel__ted_AB.mtx,10605,119972,1,13,6.848352657775623e-9,223.61090087687128,0.0122555,0.01787875,ok
Bindel__ted_AB_unscaled.mtx,10605,119972,1,13,6.848352657775623e-9,223.61090087687128,0.011909833,0.01773225,ok
Bindel__ted_A_unscaled.mtx,10605,119972,1,13,6.848352657775623e-9,223.61090087687128,0.047661,0.018121667,ok
Bindel__ted_B.mtx,2121,22329,1,13,3.374959983702096e-9,139.52308656903577,0.001575875,0.001396792,ok
Bindel__ted_B_unscaled.mtx,2121,22329,1,13,3.374959983702096e-9,139.52308656903577,0.002569458,0.001514125,ok
Bodendiek__CurlCurl_0.mtx,11083,51130,1,13,8.997168538438496e-9,225.17154312536672,0.027378792,0.007113291,ok
Bodendiek__CurlCurl_1.mtx,226451,1122810,1,15,4.535836499405014e-9,249.78417987014723,0.785454667,0.181912291,ok
Bodendiek__CurlCurl_2.mtx,806529,4057630,1,15,5.685439392150383e-9,241.68012731569905,3.050949417,0.642473791,ok
Boeing__bcsstk34.mtx,588,10415,1,10,1.954286967711431e-9,109.7513202112338,0.001314583,0.000453,ok
Boeing__bcsstk35.mtx,30237,709963,1,12,7.352928245005203e-9,144.87095806401177,0.047159417,0.041920708,ok
Boeing__bcsstk36.mtx,23052,560044,1,11,7.067273684204195e-9,136.28813093256957,0.084158542,0.030980125,ok
Boeing__bcsstk37.mtx,25503,557737,1,12,6.711754757006869e-9,147.15768184646168,0.072314875,0.037754959,ok
Boeing__bcsstk38.mtx,8032,173714,1,14,3.3733504176362354e-9,148.1569015738513,0.0293995,0.010935584,ok
Boeing__bcsstk39.mtx,46772,1006945,1,10,9.891459846640552e-9,112.61341979949252,0.079653417,0.044996625,ok
Boeing__bcsstm34.mtx,588,11841,1,9,3.063775834996301e-9,109.7618444388143,0.000643208,0.000522875,ok
Boeing__bcsstm35.mtx,6,15,0,0,0,0,0,0,skip(size)
Boeing__bcsstm36.mtx,12172,154217,1,12,4.34445807009476e-9,163.0534636259297,0.015236,0.012078875,ok
Boeing__bcsstm37.mtx,6,9,0,0,0,0,0,0,skip(size)
Boeing__bcsstm38.mtx,28,168,0,0,0,0,0,0,skip(size)
Boeing__bcsstm39.mtx,1,0,0,0,0,0,0,0,skip(size)
Boeing__crystk01.mtx,4875,155508,1,10,7.663431256459852e-9,103.99522854129691,0.016241916,0.005745958,ok
Boeing__crystk02.mtx,13965,477309,1,10,4.270140276313055e-9,104.13637706391457,0.055803917,0.017341417,ok
Boeing__crystk03.mtx,24696,863241,1,10,3.10801191027135e-9,104.41978543651193,0.137199916,0.033722834,ok
Boeing__crystm01.mtx,1625,16744,1,12,3.8910853922952616e-9,143.76708074534162,0.0019075,0.001132333,ok
Boeing__crystm02.mtx,4655,51490,1,12,6.914215357171239e-9,144.3018061759565,0.010499834,0.00332025,ok
Boeing__crystm03.mtx,8232,93179,1,12,8.563038093524884e-9,140.99108168149476,0.009464625,0.00575475,ok
Boeing__ct20stif.mtx,52329,1273983,1,12,6.0342047104039315e-9,126.26305688537445,0.119274,0.065631708,ok
Boeing__msc00726.mtx,726,16896,1,9,2.8505774838356645e-9,97.45845170454545,0.0022925,0.000672875,ok
Boeing__msc01050.mtx,1050,12574,1,11,2.3031090803786485e-9,124.92794655638619,0.001321583,0.000723625,ok
Boeing__msc01440.mtx,1440,21779,1,11,7.4024316120858906e-9,121.92276964047936,0.001905459,0.001191,ok
Boeing__msc04515.mtx,2709,32387,1,10,3.1907334688672148e-9,134.71423719393584,0.00279275,0.002051459,ok
Boeing__msc10848.mtx,10848,609464,1,12,7.85641294147455e-9,121.86069070527546,0.335103166,0.027260167,ok
Boeing__msc23052.mtx,23052,559817,1,11,7.882080462407872e-9,141.3144652627555,0.087266208,0.034666042,ok
Boeing__nasa1824.mtx,1824,18692,1,10,9.292933837579154e-9,119.13652899636207,0.001971834,0.001127,ok
Boeing__nasa2910.mtx,2910,85693,1,11,4.447647600377413e-9,139.01669914695483,0.00696125,0.004736875,ok
Boeing__nasa4704.mtx,4704,50026,1,11,2.9623320782890623e-9,154.67988645904128,0.009443,0.003800291,ok
Boeing__pcrystk02.mtx,13965,477309,1,10,4.270140276313055e-9,104.13637706391457,0.055319625,0.017445875,ok
Boeing__pcrystk03.mtx,24696,863241,1,10,3.10801191027135e-9,104.41978543651193,0.109423792,0.031614084,ok
Boeing__pct20stif.mtx,52329,1323067,1,12,4.727903996406232e-9,125.89511188775776,0.11543775,0.0669555,ok
Boeing__pwtk.mtx,217918,5653257,0,0,0,0,0,0,skip(size)
Bomhof__circuit_1.mtx,2614,16608,1,9,1.4026179221430083e-9,126.85946531791907,0.003297875,0.00097825,ok
Bomhof__circuit_2.mtx,4510,9964,1,34,2.2332584075969075e-9,787.4937775993577,0.135305917,0.005986208,ok
Bomhof__circuit_3.mtx,11941,20041,1,12,2.003434690202143e-9,246.817025098548,0.042582,0.004486875,ok
Bomhof__circuit_4.mtx,67029,117202,1,14,7.3974959902484746e-9,323.3238852579307,0.124214084,0.029447458,ok
Botonakis__FEM_3D_thermal1.mtx,17880,206430,1,13,5.674883592973999e-9,153.89498619386717,0.022517916,0.01534775,ok
Botonakis__FEM_3D_thermal2.mtx,147900,1670700,1,13,7.377204394379479e-9,156.72813072364877,0.227568792,0.125630791,ok
Botonakis__thermomech_TC.mtx,102158,304700,1,15,8.678303342369055e-9,297.88562520511977,0.088239042,0.096209458,ok
Botonakis__thermomech_TK.mtx,102158,304700,1,15,8.678303342369055e-9,297.88562520511977,0.1190735,0.097113167,ok
Botonakis__thermomech_dK.mtx,204316,1320956,1,13,6.180782837261806e-9,174.55349761839153,0.179701208,0.162734917,ok
Botonakis__thermomech_dM.mtx,102158,304700,1,15,8.678303342369055e-9,297.88562520511977,0.114905416,0.095499542,ok
Bourchtein__atmosmodd.mtx,1270432,3772224,1,16,8.721490391375087e-9,318.1424644983967,1.918057333,0.911557708,ok
Bourchtein__atmosmodj.mtx,1270432,3772224,1,16,8.721490391375087e-9,318.1424644983967,1.956077,0.865236417,ok
Bourchtein__atmosmodl.mtx,1489752,4415004,0,0,0,0,0,0,skip(size)
Bourchtein__atmosmodm.mtx,1489752,4415004,0,0,0,0,0,0,skip(size)
Bova__rma10.mtx,46835,1143979,1,16,5.093046050003626e-9,192.27109588550138,0.103414417,0.099341666,ok
Brethour__coater1.mtx,1298,9252,1,13,2.0758149186122264e-9,183.93060959792479,0.001766459,0.000883375,ok
Brethour__coater2.mtx,9433,104412,1,14,3.993687020883315e-9,182.02614641995174,0.013823,0.011102459,ok
Brunetiere__thermal.mtx,3456,31536,1,11,7.107860967342512e-9,135.0743911719939,0.008144,0.002103042,ok
CEMW__t2em.mtx,919466,1834600,1,11,7.45640932954822e-9,293.81825029979285,0.491342083,0.460077375,ok
CEMW__tmt_sym.mtx,726713,2177124,1,14,6.5915834204250174e-9,281.0571809414622,0.54586175,0.696925542,ok
CEMW__tmt_unsym.mtx,917825,1833488,1,13,4.684707592986957e-9,366.3387886912813,0.535470417,0.572749125,ok
CEMW__vfem.mtx,93476,670580,1,13,4.4843862015125135e-9,182.80433356199111,0.191362791,0.094274625,ok
CPM__cz10228.mtx,10228,46315,1,14,3.6826788152918402e-9,191.93980351937816,0.004715292,0.005978875,ok
CPM__cz1268.mtx,1268,5751,1,14,4.620443729750007e-9,186.01912710832897,0.002811042,0.00073275,ok
CPM__cz148.mtx,148,696,0,0,0,0,0,0,skip(size)
CPM__cz20468.mtx,20468,92795,1,14,7.84927099385585e-9,193.57129155665714,0.008529667,0.01295175,ok
CPM__cz2548.mtx,2548,11571,1,14,3.2905472329808064e-9,188.23714458560192,0.0015045,0.001500791,ok
CPM__cz308.mtx,308,1443,1,12,3.757665244467496e-9,150.23700623700623,0.000250333,0.000136208,ok
CPM__cz40948.mtx,40948,185609,1,14,8.246683775390653e-9,193.5712384636521,0.017075333,0.026011708,ok
CPM__cz5108.mtx,5108,23161,1,14,4.766532172547733e-9,190.9877811838867,0.00237175,0.003159291,ok
CPM__cz628.mtx,628,2851,1,12,8.478422401728813e-9,157.61206594177483,0.00096725,0.000267292,ok
Cannizzo__sts4098.mtx,4098,34129,1,14,4.596810370424241e-9,172.68129743033785,0.017396791,0.003161292,ok
Castrillon__denormal.mtx,89400,533412,1,13,7.64228406057061e-9,179.08074434020983,0.101504291,0.053375292,ok
Chen__pkustk01.mtx,22044,478668,1,12,5.552137246374769e-9,127.09945097645968,0.069254666,0.024877375,ok
Chen__pkustk02.mtx,10800,399600,1,11,4.301156916489271e-9,129.57977977977978,0.019601417,0.019302458,ok
Chen__pkustk03.mtx,63336,1533540,1,12,4.505502653157316e-9,143.05536210336868,0.068161,0.091457958,ok
Chen__pkustk04.mtx,55590,2081535,1,12,7.923805770922627e-9,123.01627020444047,0.32507425,0.093386667,ok
Chen__pkustk05.mtx,37164,1083990,1,11,8.255115338183429e-9,114.74329652487569,0.1320335,0.046822833,ok
Chen__pkustk06.mtx,43164,1264302,1,11,6.951920691116001e-9,114.78547530574183,0.156402459,0.054322041,ok
Chen__pkustk07.mtx,16860,1200972,1,11,9.36857182092991e-9,111.5558264472444,0.23679925,0.045851667,ok
Chen__pkustk08.mtx,22209,1602231,1,11,9.97250248432545e-9,111.62822526839139,0.295627292,0.061317792,ok
Chen__pkustk09.mtx,33960,774840,1,12,6.0903923289300526e-9,143.37076041505344,0.068624125,0.047296583,ok
Chen__pkustk10.mtx,80676,2114154,1,11,8.204045046640957e-9,124.30826136601213,0.116205125,0.099565542,ok
Chen__pkustk11.mtx,87228,2560158,1,11,6.996959553214819e-9,114.88099172004227,0.358642,0.110092375,ok
Chen__pkustk12.mtx,94653,3708832,1,11,4.258798190111382e-9,132.32794772046833,0.76721025,0.183092708,ok
Chen__pkustk13.mtx,94893,3260967,1,13,4.4151950803627086e-9,134.04204427705034,0.366178959,0.168122292,ok
Chevron__Chevron1.mtx,37365,146634,1,15,4.0215719798379875e-9,227.13500961577805,0.020245125,0.0222365,ok
Chevron__Chevron2.mtx,90249,356462,1,15,4.449170778327069e-9,228.94649359539025,0.040057666,0.086602625,ok
Chevron__Chevron3.mtx,381381,1515866,1,15,4.465913033506517e-9,228.638326210892,0.189054875,0.219853417,ok
Chevron__Chevron4.mtx,711450,2832481,1,15,4.3452867615061e-9,229.64717150794658,0.307729709,0.417015333,ok
Cote__mplate.mtx,5962,68114,1,12,3.1767162454768166e-9,150.02237425492555,0.008730875,0.005254334,ok
Cote__vibrobox.mtx,12328,144686,1,11,8.100079298187894e-9,136.60554580263468,0.022209833,0.009171584,ok
Cunningham__k3plates.mtx,11107,183910,1,11,7.131501667044456e-9,124.27236691860149,0.008695416,0.010502625,ok
Cunningham__m3plates.mtx,1,0,0,0,0,0,0,0,skip(size)
Cunningham__qa8fk.mtx,66127,797226,1,13,3.77301303874705e-9,157.05661506273,0.122186875,0.061054166,ok
Cunningham__qa8fm.mtx,66127,797226,1,13,3.77301303874705e-9,157.05661506273,0.136210625,0.061757167,ok
Cylshell__s1rmq4m1.mtx,5489,128461,1,10,2.6267765917271066e-9,111.56094067460162,0.005872167,0.005911125,ok
Cylshell__s1rmt3m1.mtx,5489,106081,1,12,5.3741533185245865e-9,128.74799445706583,0.00438525,0.005448083,ok
Cylshell__s2rmq4m1.mtx,5489,128931,1,10,2.441121334341686e-9,110.76490525940231,0.00663475,0.005836875,ok
Cylshell__s2rmt3m1.mtx,5489,106096,1,12,4.641894863074327e-9,128.96980093500227,0.004401208,0.005434083,ok
Cylshell__s3rmq4m1.mtx,5489,128727,1,10,2.2509159508623315e-9,113.50990856619046,0.005825,0.006004708,ok
Cylshell__s3rmt3m1.mtx,5489,106090,1,12,5.2001321928761446e-9,129.51233858045057,0.004437625,0.005500917,ok
